name,name2,name3,name4,name5,name6,name7,name8,name9
Dave,Alexander,Dave Alexander,19750210,252,Bassist for the Stooges,Pulmonary edema,2Eh1FXHrDR8?,0
Alexander,Bashlachev,Alexander Bashlachev,19880217,266,Poet-rock musician and songwriter,Fall from a height,65V0OmrEdNw?,0
Jean-Michel,Basquiat,Jean-Michel Basquiat,19880812,234,Painter and graffiti artist; formed the band Gray,Drug overdose (Speedball),6NelkZptg6c?,0
Chris,Bell,Chris Bell,19781227,349,Singer-songwriter and guitarist of power pop band Big Star and solo,Traffic collision,JC0Wa3P_dO0?t=26s&,0
Jesse,Belvin,Jesse Belvin,19600206,53,R&B singer- pianist and songwriter,Traffic collision,kYRlOjJrjG0?,0
Nicole,Bogner,Nicole Bogner,20120106,290,Singer for Visions of Atlantis,Undisclosed illness,q-kenAVHaGs?,0
Rodrigo,Bueno,Rodrigo Bueno,20000624,31,Cuarteto singer,Traffic collision,yIVBs-yI7Os?,0
Cecilia,Cecilia,Cecilia,19760802,296,Singer,Traffic collision,yVfPSy5VubY?,0
Louis,Chauvin,Louis Chauvin,19080326,13,Ragtime musician,Neurosyphilitic sclerosis,k9dPX4bcO-k?t=6s&,0
Arlester,Christian,Arlester Christian,19710313,273,Frontman- vocalist and bassist of Dyke and the Blazers,Murdered,mpecXe7wA-U?,0
Kurt,Cobain,Kurt Cobain,19940504,44,Founding member- lead singer- guitarist and songwriter for Nirvana,Suicide by gunshot,pkcJEvMcnEg?,0
D. Boon,D. Boon,D. Boon,19851222,266,Guitarist- lead singer of punk band theMinutemen,Traffic collision,206f0dLjtds?,0
Roger,Durham,Roger Durham,19730727,163,Singer and percussionist of Bloodstone,Fell off a horse,7ZuXcJy8ftY?t=40s&,0
Richey,Edwards,Richey Edwards,19950201,41,Lyricist and guitarist for Manic Street Preachers,Disappeared,jblh5gU3fLI?,0
Valentín,Elizalde,Valentín Elizalde,20061126,297,Mexican banda singer,Murdered,BJhj7KrrPSg?,0
Soroush,Farazmand,Soroush Farazmand,20131111,11,Guitarist for the Yellow Dogs,Murdered,ofauU0SiOkQ?,0
Pete de,Freitas,Pete de Freitas,19890614,346,Drummer for Echo & the Bunnymen,Traffic collision,34gZnaItgDQ?,0
Slada,Guduras,Slada Guduras,20141012,213,Bosnian pop singer and actress,Road accident,PxsHnGKpUSo?t=16s&,0
Malcolm,Hale,Malcolm Hale,19681031,166,Original member and lead guitarist ofSpanky and Our Gang,Poisoning (carbon monoxide),owV4ri8AkwA?,0
Pete,Ham,Pete Ham,19750424,362,Keyboardist and guitarist- leader ofBadfinger,Suicide by hanging,C53QAuOoSgc?,0
Leslie,Harvey,Leslie Harvey,19720503,233,Guitarist for Stone the Crows and brother of Alex Harvey,Electrocution,6Ow2585xx8c?,0
Joe,Henderson,Joe Henderson,19641024,183,R&B and gospel singer,Heart attack,y2qLXKy5-HU?,0
Jimi,Hendrix,Jimi Hendrix,19700918,295,Pioneering electric guitarist- singer and songwriter,Asphyxiation,_PVjcIO4MT4?,0
Nat,Jaffe,Nat Jaffe,19450805,216,Swing jazz pianist,high blood pressure,kEAdUqaXkWw?,0
Robert,Johnson,Robert Johnson,19380816,100,Blues singer and musician,Poisoning,H_qNwek7n5g?,0
Linda,Jones,Linda Jones,19720314,91,Soul singer,Diabetes,ZY7fZ95XfMY?t=15s&,0
Brian,Jones,Brian Jones,19690703,125,Rolling Stones founder- guitarist and multi-instrumentalist,Drowning,UsSmqaHl4ps?,0
